Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2000,2000,Suppressed,949,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2001,2001,Suppressed,990,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2002,2002,Suppressed,1068,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2003,2003,Suppressed,1204,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2004,2004,Suppressed,1274,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2005,2005,Suppressed,1358,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2006,2006,Suppressed,1529,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2007,2007,Suppressed,1600,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2008,2008,Suppressed,1780,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2009,2009,Suppressed,1860,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2010,2010,Suppressed,1908,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2011,2011,Suppressed,1979,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2012,2012,Suppressed,2133,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2013,2013,Suppressed,2204,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2014,2014,Suppressed,2238,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2015,2015,Suppressed,2517,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2016,2016,Suppressed,2736,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2017,2017,Suppressed,2954,Suppressed
,Alabama,1,45-49 years,45-49,Asian or PI,Male,M,2018,2018,Suppressed,3066,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,1999,1999,Suppressed,707,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2000,2000,Suppressed,781,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2001,2001,Suppressed,893,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2002,2002,Suppressed,881,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2003,2003,Suppressed,924,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2004,2004,Suppressed,1001,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2005,2005,Suppressed,1143,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2006,2006,Suppressed,1158,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2007,2007,Suppressed,1266,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2008,2008,Suppressed,1410,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2009,2009,Suppressed,1500,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2010,2010,Suppressed,1568,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2011,2011,Suppressed,1649,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2012,2012,Suppressed,1733,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2013,2013,Suppressed,1886,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2014,2014,Suppressed,2013,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2015,2015,Suppressed,2013,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2016,2016,Suppressed,2027,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2017,2017,Suppressed,2261,Suppressed
,Alabama,1,50-54 years,50-54,Asian or PI,Male,M,2018,2018,Suppressed,2346,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,1999,1999,Suppressed,500,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2000,2000,Suppressed,572,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2001,2001,Suppressed,638,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2002,2002,Suppressed,706,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2003,2003,Suppressed,750,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2004,2004,Suppressed,797,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2005,2005,Suppressed,873,Suppressed
